date, time, show, episode, synopsis
20220627, 00:10, Miraculous, Les aventures de Ladybug et Chat Noir, Rebrousse-temps, Quand Marinette apprend qu’Adrien s’apprête à passer tout un week-end à Londres avec Kagami, elle décide de lui écrire une lettre pour lui avouer ses sentiments avant qu’il ne soit trop tard. Mais Maître Fu, malade, lui confie une ordonnance ainsi qu’une lettre pour Marianne, une vieille amie à qui il n’a pas su dire qu’il l’aimait. Marinette s’embrouille et confond les divers destinataires, donnant sa lettre pour Adrien à Marianne, qui interprète mal son contenu.
20220627, 00:32, Miraculous, Les aventures de Ladybug et Chat Noir, Papa Garou, Quand Chat Noir manque de comprendre que Marinette est Ladybug, Marinette panique et lui fait croire qu’elle est amoureuse de lui pour détourner son attention. Mais ses parents assistent à sa déclaration, et Tom, absolument ravi, décide d’inviter Chat Noir à déjeuner chez les Dupain-Cheng. Mais quand le super-héros leur avoue qu’il n’est pas amoureux de Marinette, Tom a le coeur brisé et se fait akumatiser par le Papillon. Devenu Papa Garou, un immense homme-chien de garde monstrueux, il enferme Marinette dans une prison de ronces pour la protéger du monde extérieur et des peines de coeur.
20220627, 00:53, Alex & Co, Épisode 1, Le grand jour est arrivé, après un été passé loin les uns des autres, le jour de la rentrée au lycée est enfin arrivé pour Alex, Nicole et Christian. Malgré les règles très strictes du lycée Melsher, Alex a hâte de se faire de nouveaux amis. Très vite, ils font la connaissance d’Emma et de Sam, qui sont dans la même classe. Pendant l’été, Nicole s’est aperçue que ses sentiments envers Alex, son meilleur ami, ont évolués et elle voit d’un mauvais œil Emma, qui a l’air de bien s’entendre avec Alex.
20220627, 01:15, Alex & Co, Épisode 2, Les élèves s'habituent tout doucement au règlement intérieur, aux devoirs et  aux fantaisies de leurs professeurs... Heureusement, nos cinq amis partagent une passion commune : l'amour de la musique ! Mais ce n'est pas du goût de tout le monde.
20220627, 01:59, Alex & Co, Épisode 14, Alex apprend avec horreur que son père est muté aux Etats-Unis et qu'il doit aller vivre là-bas. Il cherche par tous les moyens à rester. Alors quand il voit une bande annonce pour un jeu télévisé basé sur la chanson, il s'inscrit avec ses amis.
20220627, 02:00, Sadie Sparks, Mon joujou préféré / Vertige de l’amour, Sadie rassemble son courage à deux mains et s’apprête à inviter Sam au bal de l’école. Malheureusement pour elle, Val, qui a entendu ses intentions lui fait un croche-patte « involontaire » et en profite pour inviter Sam. / Cela fait plusieurs jours que Sadie essaie d'inviter Sam à sortir avec elle, mais elle finit toujours par se dégonfler. Elle décide donc de concocter un philtre d'amour pour s'assurer une réponse positive de la part de Sam.
20220627, 02:22, Sadie Sparks, La flortilège d'invisibilité / Meilleurs ennemis, Covert a entendu parler d'une fleur qui rend invisible et elle veut à tout prix mettre la main dessus.Pendant ce temps, les Anciens demandent à Sadie et Gilbert de retrouver la fleur et de la ramener en sécurité dans le royaume magique. / Gilbert et Cornelius se disputent et malheureusement pour eux, Covert les surprend. Covert est convaincue qu'il y a de la magie dans l'air.
20220627, 02:44, Sadie Sparks, Danse avec les zombies / Juste à temps, Gilbert essaie d'enseigner un sort à Sadie qui n'arrive pas à sa concentrer. Elle écoute de la musique sur son téléphone et improvise totalement, à la grande frustration de Gilbert. Les deux amis se disputent à cause du téléphone qui finit par tomber dans la potion. / Le cours de physique est interminable et Teepee encourage Sadie à lancer un sort à l'horloge de la classe. Le temps s'accélère et soudain le cours est terminé. Malheureusement, le sort de Sadie semble avoir touché l'école tout entière et le temps continue à accélérer.
20220627, 03:06, Miraculous, Les aventures de Ladybug et Chat Noir, Desperada, Lors d’une répétition des Kitty Section, Marinette et Luka se rapprochent, devenant de plus en plus complices. Mais quand Adrien et Kagami arrivent ensemble, Marinette, jalouse, oublie vite Luka. Et quand Jagged Stone vient chercher quelqu’un pour remplacer la guitariste qu’il a renvoyée ce matin, Marinette lui suggère Adrien le pianiste, plutôt que Luka… le guitariste !  Arrive alors Desperada, la guitariste de Jagged akumatisée après son renvoi. Avec sa guitare magique, elle transforme les gens en autocollants… et elle en a après Adrien, qu’elle prend pour son remplaçant !
20220627, 03:28, Miraculous, Les aventures de Ladybug et Chat Noir, Chasseuse de kwamis, A cause d’une erreur de Plagg, Mme Mendeleiev découvre l’existence du kwami et de Tikki. Et elle est bien décidée à partager sa découverte avec le monde. Les kwamis n’ayant pas eu le temps d’informer Marinette et Adrien de leur mésaventure, personne ne peut empêcher la professeure de participer à une émission de télévision au cours de laquelle elle a l’intention de partager une vidéo qu’elle a faite des kwamis. Mais l’émission ne se passe pas comme prévu, et Mme Mendeleiev est akumatisée par le Papillon. Devenue Chasseuse de Kwamis, elle veut capturer Tikki et Plagg et tout révéler !
20220627, 03:50, Miraculous, Les aventures de Ladybug et Chat Noir, Festin, Lors de l’inauguration au Louvre d’une étrange statue découverte au Tibet, Alya révèle à Marinette avoir fait une découverte : un symbole qui apparaît sur toutes les représentations de super-héros… et qu’on retrouve sur cette statue ! Troublée, Marinette en parle à Maître Fu. En voyant la statue, le Gardien terrifié lui explique qu’il s’agit d’un sentimonstre, Festin, résultat de l’erreur qu’il a commise dans son enfance. Et quand le Papillon et Mayura redonnent vie au monstre pour le contrôler, Maître Fu reprend leurs Miraculous à Marinette et Adrien pour les protéger.
