date, time, show, episode, synopsis
20220628, 00:07, Miraculous, Les aventures de Ladybug et Chat Noir, Oblivio, Quand Ladybug et Chat Noir reprennent conscience dans un ascenseur de la Tour Montparnasse, ils se rendent compte qu’ils ont perdu la mémoire. Ils se détransforment et redeviennent Marinette et Adrien l’un devant l’autre.  Impossible pour leurs kwamis de les aider, car ils ont eux aussi tout oublié. Et Plagg, bien décidé à profiter de cette nouvelle liberté, les abandonne sur place ! Alors qu’ils tentent de rassembler les morceaux du puzzle, Marinette et Adrien s’aperçoivent qu’un mystérieux vilain rôde dans la Tour… Nos héros amnésiques parviendront-ils à retrouver la mémoire ?
20220628, 00:29, Phinéas et Ferb, Les héros de l'ouest/ La neige en été, Phinéas et Ferb visitent un ranch. Soudain, toutes les vaches s'échappent vers la ville. / Quand leur père leur offre une machine à faire des glaces, Phinéas et Ferb ont une grande idée : créer l'hiver en plein milieu de l'été.
20220628, 00:51, Alex & Co, Épisode 15, Alex essaye de trouver un moyen de ne pas partir aux États-Unis avec ses parents. Il espère que son frère acceptera de le garder.Linda et Tom souhaite que Mathieu gagne la confiance de Christian et ses amis pour pouvoir se venger.
20220628, 01:14, Alex & Co, Épisode 16, Linda et ses amies se sont inscrites elles aussi au jeu télévisé, simplement pour faire du tort à Alex et son groupe. Sam se porte volontaire pour donner des cours de soutien, il pense rencontrer Math Girl mais en réalité, on lui confie Rebecca. Alex s'inquiète pour sa maman; il la trouve faible et fatiguée.
20220628, 01:59, Alex & Co, Épisode 17, Christian, Nicole, Emma et Sam se demandent s'ils doivent se présenter à l'émission The Talent sans Alex, leur leader. Le nom de leur groupe devient Alex & Co.Linda et ses copines annoncent leur participation à  The Talent. Linda et Tom décident de faire en sorte qu'Emma craque pour Mathieu.Alex apprend que sa mère est enceinte. Le déménagement est annulé.
20220628, 02:00, Sadie Sparks, Le concours de mascottes / Comme un gant, Val demande l'organisation d'une compétition de mascottes, car elle pense que son carlin Prince ferait une bien meilleure mascotte que Gilbert. Ce dernier est inquiet parce qu'il pourrait perdre son accès privilégié à l'école de Sadie. / Sadie reçoit un gant magique qui peut changer les portes ordinaires en portails vers une autre pièce ou un autre lieu. La jeune fille et ses amis en profitent pour faire une partie de cache-cache épique dans l'école.
20220628, 02:22, Sadie Sparks, La flortilège d'invisibilité  / Les chaussures de Lulu, L'école a organisé une sortie nature dans la forêt pour la classe de Sadie.Malheureusement, son sens de l'orientation lui joue des tours et voilà que le petit groupe s'égare. Forcés de passer la nuit dehors dans un camp de fortune non loin d'une grotte. Mais la grotte mène vers le royaume magique. / Tandis que Gilbert se prépare avec anxiété à affronter les Anciens à l'occasion de son évaluation annuelle, une lapine arrive dans la maison des Sparks et s'intéresse d'un peu trop près à Gilbert...
20220628, 02:44, Sadie Sparks, Mentors de Malheur / Créatures en folie, Gilbert et Sadie se disputent devant les Anciens qui les renvoient chez eux en leur ordonnant de préparer un sortilège de transformation. Le duo est toujours en froid quand une chatte magique, Purrpetua, se glisse dans la maison. / Une autre faille s'est ouverte entre le monde des humains et le royaume magique. Les Anciens font appel à Sadie pour les aider à réparer cette déchirure, mais la jeune fille insiste pour garder avec elle une pastèque.
20220628, 03:07, Miraculous, Les aventures de Ladybug et Chat Noir, La Marionnettiste 2, Alors que Marinette garde la petite Manon, Alya l’appelle pour lui dire qu’Adrien a une séance de pose au Musée Grévin où est exposée sa statue de cire. Alya, Nino, Manon et une Marinette surexcitée accompagnent donc Adrien au musée, où Alya et Nino complotent pour faire en sorte que Marinette se retrouve seule avec Adrien. Complètement délaissée par les grands, qui ne veulent pas jouer avec elle, Manon est de nouveau akumatisée en Marionnettiste. Armée de sa baguette magique, elle peut donner vie aux statues de cire des supervilains et leur rendre leurs pouvoirs d’origines.
20220628, 03:28, Miraculous, Les aventures de Ladybug et Chat Noir, Chat Blanc, Marinette brave l'interdit en utilisant ses pouvoirs à des fins personnelles : elle se transforme en Ladybug et dépose un cadeau signé Marinette chez Adrien... qui la voit sortir et comprend la vérité ! Ladybug croise ensuite Bunny, la super-héroïne du futur. Bunny est venue la chercher car l’erreur de Marinette a eu des conséquences désastreuses sur l’avenir. Elle emmène Ladybug avec elle dans le futur, où la super-héroïne découvre un Paris ravagé par la dernière personne qu’elle aurait crue capable de se faire akumatiser… Chat Noir ! Ladybug arrivera-t-elle à réparer son erreur ?
20220628, 03:50, Miraculous, Les aventures de Ladybug et Chat Noir, Felix, C’est l’anniversaire de la disparition de la maman d'Adrien. Pour l’occasion, son cousin Félix lui rend visite, et ses amis enregistrent une vidéo dans laquelle ils lui disent tous un mot gentil… et où Marinette lui avoue ses sentiments ! Mais Félix subtilise le téléphone d’Adrien et, profitant de leur ressemblance frappante, enregistre à son tour une vidéo… remplie de messages méchants ! Blessées, Alya, Rose et Juleka sont akumatisées en Trio des Punisseuses. Dotées des pouvoirs de Lady Wifi, Princesse Fragrance et Reflekta, elles veulent se venger d’Adrien, pourtant non responsable !
20220628, 04:12, Miraculous, Les aventures de Ladybug et Chat Noir, Ladybug, Voyant Adrien se rapprocher toujours plus de Marinette, Lila décide de se venger. Elle manipule tous les proches de Marinette pour qu’ils se retournent contre elle, et réussit même à la faire renvoyer du collège ! Marinette est désemparée, mais un autre problème majeur l’attend. En effet, ignorant l’ordre de Gabriel de ne plus jamais utiliser le Miraculous du Paon, Nathalie se transforme en Mayura et crée un nouveau sentimonstre… à l’image de Ladybug ! Manipulant le sentimonstre, elle veut s’emparer des Miraculous de Ladybug et Chat Noir en semant la zizanie entre les deux super-héros.
20220628, 04:34, Miraculous, Les aventures de Ladybug et Chat Noir, Mangeamour (La Bataille des Miraculous - partie 1), Marinette aide Adrien et Kagami à échapper à une cérémonie organisée par le couple Bourgeois pour leurs vingt ans de mariage. Les trois amis s’amusent jusqu’à ce que Marinette, voyant Adrien et Kagami si complices, décide de se sacrifier et de les laisser seuls. Pendant ce temps, l’anniversaire des Bourgeois tourne mal et ils se font akumatiser. Devenus Mangeamour, un cerbère à deux têtes, ils dévorent tout l’amour dans Paris. Dépassée par ce vilain surpuissant, Ladybug va chercher de l’aide auprès de Maître Fu. Mais, encore bouleversée par son sacrifice amoureux, elle commet une grave erreur…
20220628, 04:56, Miraculous, Les aventures de Ladybug et Chat Noir, Miracle Queen (La Bataille des Miraculous - partie 2), A cause de l’erreur de Marinette, le Papillon akumatise Chloé en Miracle Queen. A l’aide de ses guêpes, elle prend le contrôle de tout Paris et force les porteurs de Miraculous à venir se mettre à son service, révélant ainsi au Papillon leurs identités secrètes. Grâce aux sacrifices de Luka et Kagami, Marinette et Adrien échappent aux piqûres fatales et peuvent se transformer. Ladybug et Chat Noir arriveront-ils à sauver leurs amis, passés sous le contrôle de Papillon et Miracle Queen ?
20220628, 05:17, Miraculous, Les aventures de Ladybug et Chat Noir, Climatika, Aurore Boréale est la perdante d’un concours où les téléspectateurs devaient voter pour élire la nouvelle miss météo de la chaîne Kidz Plus. Akumatisée par Le Papillon, elle devient Climatika et se venge de tous ceux qui n’ont pas voté pour elle. Ladybug et Chat Noir vont devoir lutter contre son pouvoir qui plonge Paris dans un chaos météorologique.Journée orageuse pour Marinette ! Elle a la responsabilité de garder Manon, une petite fille qui met à mal son sens de l’autorité, alors qu’au même moment, Adrien, l’élu de son cœur, est en pleine séance photos au parc.
